"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Peter-Lee Vassell","LAFC","2019","M","70250","72750","2019-06-01"
"Tony Rocha","NYC","2019","M","72347","72347","2019-06-01"
"Tony Rocha","NYC","2019","M","72346.92","72346.92","2019-09-13"
"Nicolas Firmino","NER","2019","M","67500","71167","2019-06-01"
"Anthony Fontana","PHI","2019","M","70260","70260","2019-06-01"
"Corben Bone","CIN","2019","M","70250.04","70250.04","2019-09-13"
"Servando Carrasco","LAG","2019","M","70250.04","70250.04","2019-09-13"
"Jimmy McLaughlin","CIN","2019","M","70250.04","70250.04","2019-09-13"
"Andrés Flores","POR","2019","M","70250.04","70250.04","2019-09-13"
"Raheem Edwards","CHI","2019","M","70250.04","70250.04","2019-09-13"
"Ballou Tabla","MTL","2019","M","70250.04","70250.04","2019-09-13"
"Ryan Telfer","TOR","2019","M","70250.04","70250.04","2019-09-13"
"Daniel Bedoya","NYC","2019","M","70250.04","70250.04","2019-09-13"
"Justin Portillo","RSL","2019","M","70250.04","70250.04","2019-09-13"
"Emil Cuello","LAG","2019","M","70250.04","70250.04","2019-09-13"
"Nazmi Albadawi","CIN","2019","M","70250.04","70250.04","2019-09-13"
"Jon Gallagher","ATL","2019","M","70250.04","70250.04","2019-09-13"
"Renzo Zambrano","POR","2019","M","70250.04","70250.04","2019-09-13"
"Corben Bone","CIN","2019","M","70250","70250","2019-06-01"
"Servando Carrasco","LAG","2019","M","70250","70250","2019-06-01"
"Jimmy McLaughlin","CIN","2019","M","70250","70250","2019-06-01"
"Andrés Flores","POR","2019","M","70250","70250","2019-06-01"
"Raheem Edwards","CHI","2019","M","70250","70250","2019-06-01"
"Henry Wingo","SEA","2019","M","70250","70250","2019-06-01"
"Ryan Telfer","TOR","2019","M","70250","70250","2019-06-01"
"Daniel Bedoya","NYC","2019","M","70250","70250","2019-06-01"
"Justin Portillo","RSL","2019","M","70250","70250","2019-06-01"
"Emil Cuello","LAG","2019","M","70250","70250","2019-06-01"
"Nazmi Albadawi","CIN","2019","M","70250","70250","2019-06-01"
"Akeem Ward","DCU","2019","M","70250","70250","2019-06-01"
"Jon Gallagher","ATL","2019","M","70250","70250","2019-06-01"
"Renzo Zambrano","POR","2019","M","70250","70250","2019-06-01"
"Pierre Da Silva","ORL","2019","M","70248","70248","2019-06-01"
"Noble Okello","TOR","2019","M","56244.6","68059.51","2019-09-13"
"Clément Bayiha","MTL","2019","M","61750.08","67125.08","2019-09-13"
"Clément Bayiha","MTL","2019","M","61750","67125","2019-06-01"
"Ben Mines","NYRB","2019","M","57229.2","63243.2","2019-09-13"
"Ben Mines","NYRB","2019","M","57229","63243","2019-06-01"
"Jacob Shaffelburg","TOR","2019","M","56250","62750","2019-09-13"
"Ken Krolicki","MTL","2019","M","59950.08","59950.08","2019-09-13"
"Ken Krolicki","MTL","2019","M","59950","59950","2019-06-01"
"David Norman","VAN","2019","M","57225","58225","2019-06-01"
"David Norman","VAN","2019","M","57225","58225","2019-09-13"
"Luis Argudo","CLB","2019","M","57225","57225","2019-06-01"
"Handwalla Bwana","SEA","2019","M","57225","57225","2019-06-01"
"Alex Roldan","SEA","2019","M","57225","57225","2019-06-01"
"Elliot Collier","CHI","2019","M","57225","57225","2019-06-01"
"Aidan Daniels","TOR","2019","M","57225","57225","2019-06-01"
"Kevin Partida","SJE","2019","M","57225","57225","2019-06-01"
"Luis Argudo","CLB","2019","M","57225","57225","2019-09-13"
"Handwalla Bwana","SEA","2019","M","57225","57225","2019-09-13"
"Alex Roldan","SEA","2019","M","57225","57225","2019-09-13"
"Elliot Collier","CHI","2019","M","57225","57225","2019-09-13"
"Aidan Daniels","TOR","2019","M","57225","57225","2019-09-13"
"Kevin Partida","SJE","2019","M","57225","57225","2019-09-13"
"Dion Pereira","ATL","2019","M","56250","56250","2019-06-01"
"Anderson Asiedu","ATL","2019","M","56250","56250","2019-06-01"
"DeJuan Jones","NER","2019","M","56250","56250","2019-06-01"
"Hassani Dotson","MIN","2019","M","56250","56250","2019-06-01"
"Ally Ng'Anzi","MIN","2019","M","56250","56250","2019-06-01"
"Javier Pérez","LAFC","2019","M","56250","56250","2019-06-01"
"Luis Arriaga","RSL","2019","M","56250","56250","2019-06-01"
"Jeremiah Gutjahr","CHI","2019","M","56250","56250","2019-06-01"
"Amar Sejdic","MTL","2019","M","56250","56250","2019-06-01"
"Michee Ngalina","PHI","2019","M","56250","56250","2019-06-01"
"Justin Haak","NYC","2019","M","56250","56250","2019-06-01"
"Marvin Loría","POR","2019","M","56250","56250","2019-06-01"
"Dion Pereira","ATL","2019","M","56250","56250","2019-09-13"
"DeJuan Jones","NER","2019","M","56250","56250","2019-09-13"
"Hassani Dotson","MIN","2019","M","56250","56250","2019-09-13"
"Ally Ng'Anzi","MIN","2019","M","56250","56250","2019-09-13"
"Javier Pérez","LAFC","2019","M","56250","56250","2019-09-13"
"Luis Arriaga","RSL","2019","M","56250","56250","2019-09-13"
"Jeremiah Gutjahr","CHI","2019","M","56250","56250","2019-09-13"
"Amar Sejdic","MTL","2019","M","56250","56250","2019-09-13"
"Michee Ngalina","PHI","2019","M","56250","56250","2019-09-13"
"Justin Haak","NYC","2019","M","56250","56250","2019-09-13"
"Marvin Loría","POR","2019","M","56250","56250","2019-09-13"
"Chris Cadden","CLB","2019","M","56250","56250","2019-09-13"
"Felipe Hernandez","SKC","2019","M","56250","56250","2019-09-13"
